165159332,84201666.68847656,0.5098208237393245,1
197587920,97162275.11132812,0.4917419805387299,2
343765527,135242723.85116196,0.3934156081076796,3
510920693,185160108.0824585,0.3624047931886339,4
85369622,34407117.375320435,0.4030370121039125,5
37019176,13280856.063113581,0.3587561231269324,6
137888118,38075848.21648474,0.276135817710448,7
208829784,63612732.68979597,0.30461523002770513,8
836201452,268935144.40159607,0.32161525641741656,9
227776810,70250422.91830945,0.30841780126040685,10
268916425,92221724.07553816,0.3429382347156302,11
29135266,5769600.824127922,0.19802808129940952,12
33391062,8088811.890037622,0.24224482258269062,13
25910640,5553905.514346688,0.21434844968502081,14
111933786,28538063.619895,0.2549548678706803,15
35144733,7273619.626697925,0.20696186898611307,16
