165159332,113112214.77441406,0.6848672333841485,1
197587920,116248322.78222656,0.5883371958276932,2
343765527,129412059.62730408,0.376454441946717,3
510920693,182890235.53855515,0.3579620830478971,4
85369622,33127166.155532837,0.3880439596597117,5
37019176,12363048.913107336,0.33396337382299746,6
137888118,43302087.04356074,0.3140378422132119,7
208829784,56727838.67595959,0.2716463025023269,8
836201452,240255610.29330444,0.2873178582967881,9
227776810,65943615.64097071,0.2895097865360864,10
268916425,82230617.3604474,0.30578503102012977,11
29135266,7008880.592811712,0.24056346672145407,12
33391062,11043675.414263025,0.33073747143061893,13
25910640,7564798.169196913,0.2919572102115931,14
111933786,27059157.077083774,0.2417425340824599,15
35144733,9411674.162119709,0.2677975718899247,16
